Date,Open,High,Low,Close,Volume,Adj Close
2017-01-17,5748.399902,5748.399902,5695.200195,5699.399902,000,5699.399902
2017-01-16,5721.100098,5763.399902,5721.100098,5748.399902,000,5748.399902
2017-01-13,5766.899902,5770.100098,5710.00,5721.100098,000,5721.100098
2017-01-12,5771.50,5801.200195,5758.799805,5766.899902,000,5766.899902
2017-01-11,5760.700195,5791.600098,5760.700195,5771.50,000,5771.50
2017-01-10,5807.399902,5807.399902,5746.700195,5760.700195,000,5760.700195
2017-01-09,5755.600098,5827.50,5754.600098,5807.399902,000,5807.399902
2017-01-06,5753.299805,5765.200195,5747.00,5755.600098,000,5755.600098
2017-01-05,5736.399902,5759.50,5736.399902,5753.299805,000,5753.299805
2017-01-04,5733.200195,5741.700195,5728.600098,5736.399902,000,5736.399902
2017-01-03,5667.399902,5736.899902,5667.399902,5733.200195,000,5733.200195
2016-12-30,5699.100098,5699.100098,5665.799805,5665.799805,000,5665.799805
2016-12-29,5685.00,5699.100098,5659.00,5699.100098,000,5699.100098
2016-12-28,5627.899902,5693.799805,5627.899902,5685.00,000,5685.00
2016-12-23,5643.899902,5649.799805,5619.100098,5627.899902,000,5627.899902
2016-12-22,5613.50,5644.200195,5603.399902,5643.899902,000,5643.899902
2016-12-21,5591.100098,5628.00,5591.100098,5613.50,000,5613.50
2016-12-20,5562.100098,5606.799805,5557.100098,5591.100098,000,5591.100098
2016-12-19,5532.899902,5577.899902,5530.899902,5562.100098,000,5562.100098
2016-12-16,5538.600098,5549.899902,5510.00,5532.899902,000,5532.899902
2016-12-15,5584.600098,5584.600098,5517.899902,5538.600098,000,5538.600098
2016-12-14,5545.00,5595.700195,5545.00,5584.600098,000,5584.600098
2016-12-13,5562.799805,5573.700195,5543.50,5545.00,000,5545.00
2016-12-12,5560.600098,5583.200195,5552.50,5562.799805,000,5562.799805
2016-12-09,5543.600098,5566.100098,5541.299805,5560.600098,000,5560.600098
2016-12-08,5478.100098,5550.200195,5478.100098,5543.600098,000,5543.600098
2016-12-07,5428.700195,5478.100098,5428.700195,5478.100098,000,5478.100098
2016-12-06,5400.399902,5451.299805,5400.399902,5428.700195,000,5428.700195
2016-12-05,5444.00,5444.00,5383.799805,5400.399902,000,5400.399902
2016-12-02,5500.200195,5500.200195,5444.00,5444.00,000,5444.00
2016-12-01,5440.50,5500.200195,5440.50,5500.200195,000,5500.200195
2016-11-30,5457.50,5458.100098,5423.200195,5440.50,000,5440.50
2016-11-29,5464.399902,5486.600098,5453.299805,5457.50,000,5457.50
2016-11-28,5507.799805,5507.799805,5464.399902,5464.399902,000,5464.399902
2016-11-25,5485.100098,5520.899902,5478.899902,5507.799805,000,5507.799805
2016-11-24,5484.399902,5503.299805,5471.799805,5485.100098,000,5485.100098
2016-11-23,5413.299805,5488.50,5413.299805,5484.399902,000,5484.399902
2016-11-22,5351.299805,5425.50,5351.299805,5413.299805,000,5413.299805
2016-11-21,5359.399902,5364.00,5334.899902,5351.299805,000,5351.299805
2016-11-18,5338.50,5366.399902,5338.50,5359.399902,000,5359.399902
2016-11-17,5327.700195,5344.700195,5286.200195,5338.50,000,5338.50
2016-11-16,5326.200195,5346.700195,5320.299805,5327.700195,000,5327.700195
2016-11-15,5345.700195,5345.700195,5303.299805,5326.200195,000,5326.200195
2016-11-14,5370.700195,5370.700195,5315.299805,5345.700195,000,5345.700195
2016-11-11,5328.799805,5370.700195,5328.799805,5370.700195,000,5370.700195
2016-11-10,5156.600098,5328.799805,5156.600098,5328.799805,000,5328.799805
2016-11-09,5257.799805,5314.100098,5052.100098,5156.600098,000,5156.600098
2016-11-08,5250.799805,5282.399902,5244.299805,5257.799805,000,5257.799805
2016-11-07,5180.799805,5251.899902,5180.799805,5250.799805,000,5250.799805
2016-11-04,5225.600098,5225.600098,5178.00,5180.799805,000,5180.799805
2016-11-03,5229.00,5241.200195,5201.50,5225.600098,000,5225.600098
2016-11-02,5290.50,5290.50,5207.700195,5229.00,000,5229.00
2016-11-01,5317.700195,5317.700195,5271.700195,5290.50,000,5290.50
2016-10-31,5283.799805,5329.100098,5277.700195,5317.700195,000,5317.700195
2016-10-28,5295.50,5311.399902,5261.399902,5283.799805,000,5283.799805
2016-10-27,5359.799805,5374.200195,5295.50,5295.50,000,5295.50
2016-10-26,5442.799805,5442.799805,5340.700195,5359.799805,000,5359.799805
2016-10-25,5408.50,5455.700195,5407.700195,5442.799805,000,5442.799805
2016-10-24,5430.299805,5430.299805,5377.399902,5408.50,000,5408.50
2016-10-21,5442.100098,5446.899902,5410.799805,5430.299805,000,5430.299805
2016-10-20,5435.399902,5457.899902,5433.100098,5442.100098,000,5442.100098
2016-10-19,5410.799805,5438.600098,5410.799805,5435.399902,000,5435.399902
2016-10-18,5388.700195,5417.50,5386.100098,5410.799805,000,5410.799805
2016-10-17,5434.00,5441.200195,5388.700195,5388.700195,000,5388.700195
2016-10-14,5435.50,5447.200195,5430.299805,5434.00,000,5434.00
2016-10-13,5474.600098,5474.600098,5420.799805,5435.50,000,5435.50
2016-10-12,5479.799805,5479.799805,5433.600098,5474.600098,000,5474.600098
2016-10-11,5475.399902,5498.00,5474.399902,5479.799805,000,5479.799805
2016-10-10,5467.399902,5494.700195,5467.399902,5475.399902,000,5475.399902
2016-10-07,5483.00,5493.100098,5457.200195,5467.399902,000,5467.399902
2016-10-06,5452.899902,5485.799805,5452.899902,5483.00,000,5483.00
2016-10-05,5484.00,5484.00,5439.799805,5452.899902,000,5452.899902
2016-10-04,5478.50,5484.00,5448.299805,5484.00,000,5484.00
2016-10-03,5435.899902,5492.100098,5435.899902,5478.50,000,5478.50
2016-09-30,5471.299805,5471.299805,5417.700195,5435.899902,000,5435.899902
2016-09-29,5412.399902,5473.299805,5412.399902,5471.299805,000,5471.299805
2016-09-28,5405.899902,5435.00,5399.100098,5412.399902,000,5412.399902
2016-09-27,5431.399902,5431.399902,5372.299805,5405.899902,000,5405.899902
